"Aaronsburg",1091
"Abbottstown",3555
"Abington",17309
"Ackermanville",0
"Acme",2545
"Acosta",264
"Adah",1179
"Adamsburg",287
"Adamstown",960
"Adamsville",267
"Addison",681
"Adrian",1181
"Airville",2724
"Akron",4524
"Alba",0
"Albion",6261
"Albrightsville",4429
"Alburtis",4699
"Aleppo",398
"Alexandria",2678
"Aliquippa",34619
"Allenport",290
"Allensville",756
"Allentown",152315
"Allenwood",5807
"Allison",420
"Allison Park",24323
"Allport",0
"Altoona",65568
"Alum Bank",1873
"Alverda",272
"Alverton",554
"Amberson",0
"Ambler",30031
"Ambridge",12881
"Amity",1368
"Analomink",0
"Andreas",1269
"Anita",458
"Annville",10243
"Antes Fort",0
"Apollo",15057
"Aquashicola",55
"Arcadia",104
"Archbald",6574
"Arcola",0
"Ardara",230
"Ardmore",12902
"Arendtsville",0
"Aristes",256
"Armagh",920
"Armbrust",0
"Arnot",354
"Arona",406
"Artemas",359
"Ashfield",0
"Ashland",6623
"Ashville",1687
"Aspers",2428
"Aston",21019
"Atglen",2906
"Athens",6200
"Atlantic",1199
"Atlasburg",306
"Auburn",4468
"Audubon",0
"Aultman",337
"Austin",1380
"Avella",3706
"Avis",1511
"Avondale",5094
"Avonmore",1689
"Baden",9569
"Bainbridge",2466
"Bairdford",247
"Bakerstown",345
"Bala Cynwyd",9299
"Bally",1021
"Bangor",16633
"Barnesville",2076
"Bart",0
"Barto",5477
"Bartonsville",1753
"Bath",11488
"Bausman",0
"Beach Haven",261
"Beach Lake",2151
"Beallsville",377
"Bear Creek",245
"Bear Lake",857
"Beaver",15126
"Beaver Falls",29522
"Beaver Meadows",1330
"Beaver Springs",1379
"Beaverdale",0
"Beavertown",1861
"Beccaria",136
"Bechtelsville",2600
"Bedford",12155
"Bedminster",0
"Beech Creek",2070
"Belle Vernon",16808
"Bellefonte",22891
"Belleville",4841
"Bellwood",3136
"Belsano",0
"Bendersville",576
"Benezett",192
"Bensalem",53564
"Bentleyville",3771
"Benton",4420
"Berlin",7075
"Bernville",6293
"Berrysburg",354
"Berwick",19465
