Archive #0,,,,,
index,total,avg,sum,min,max
0,20,0.070748,1.414967,0.015319,0.096075
1,18,0.082460,1.484287,0.031309,0.126603
2,17,0.118718,2.018202,0.064555,0.159608
3,22,0.066237,1.457221,0.015242,0.121188
4,19,0.081672,1.551769,0.012410,0.303410
5,30,0.118307,3.549198,0.011815,0.367343
6,20,0.051688,1.033753,0.012841,0.086835
7,20,0.050338,1.006760,0.013957,0.068673
8,17,0.056872,0.966826,0.012587,0.083565
9,19,0.058816,1.117497,0.016901,0.076921
10,22,0.053693,1.181243,0.013067,0.083091
11,20,0.056184,1.123688,0.012296,0.079173
12,8,0.062164,0.497315,0.014823,0.080444
13,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
14,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
15,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
16,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
17,16,0.505213,8.083416,0.401704,0.571324
18,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
19,21,0.682060,14.323269,0.605660,0.761043
,,,,,
Archive #1,,,,,
index,total,avg,sum,min,max
0,95,0.059344,5.637726,0.011671,0.087280
1,104,0.059940,6.233800,0.012231,0.081300
2,95,0.065743,6.245607,0.014160,0.107921
3,103,0.059781,6.157470,0.012294,0.100804
4,99,0.058518,5.793304,0.012479,0.083713
5,101,0.056214,5.677605,0.011063,0.075798
6,102,0.058716,5.988998,0.012868,0.083169
7,98,0.056092,5.497064,0.012242,0.075787
8,100,0.056918,5.691799,0.011682,0.080815
9,100,0.062940,6.294022,0.011457,0.129777
10,100,0.059123,5.912267,0.013071,0.082281
11,103,0.058848,6.061327,0.012172,0.091251
12,99,0.055242,5.468964,0.011624,0.074198
13,98,0.053365,5.229725,0.011149,0.068984
14,100,0.054128,5.412826,0.010884,0.077123
15,97,0.062660,6.078007,0.015862,0.087578
16,103,0.063620,6.552907,0.013739,0.092590
17,99,0.060060,5.945899,0.012071,0.085679
