Archive #0,,,,,
index,total,avg,sum,min,max
0,21,1.000000,21.000000,1.000000,1.000000
1,10,1.000000,10.000000,1.000000,1.000000
2,17,1.000000,17.000000,1.000000,1.000000
3,22,1.000000,22.000000,1.000000,1.000000
4,18,1.000000,18.000000,1.000000,1.000000
5,19,1.000000,19.000000,1.000000,1.000000
6,21,1.000000,21.000000,1.000000,1.000000
7,19,1.000000,19.000000,1.000000,1.000000
8,20,1.000000,20.000000,1.000000,1.000000
9,19,1.000000,19.000000,1.000000,1.000000
10,21,1.000000,21.000000,1.000000,1.000000
11,21,1.000000,21.000000,1.000000,1.000000
12,3,1.000000,3.000000,1.000000,1.000000
13,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
14,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
15,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
16,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
17,10,1.000000,10.000000,1.000000,1.000000
18,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
19,7,1.000000,7.000000,1.000000,1.000000
,,,,,
Archive #1,,,,,
index,total,avg,sum,min,max
0,101,1.000000,101.000000,1.000000,1.000000
1,99,1.000000,99.000000,1.000000,1.000000
2,93,1.000000,93.000000,1.000000,1.000000
3,107,1.000000,107.000000,1.000000,1.000000
4,102,1.000000,102.000000,1.000000,1.000000
5,98,1.000000,98.000000,1.000000,1.000000
6,101,1.000000,101.000000,1.000000,1.000000
7,102,1.000000,102.000000,1.000000,1.000000
8,97,1.000000,97.000000,1.000000,1.000000
9,100,1.000000,100.000000,1.000000,1.000000
10,100,1.000000,100.000000,1.000000,1.000000
11,100,1.000000,100.000000,1.000000,1.000000
12,103,1.000000,103.000000,1.000000,1.000000
13,98,1.000000,98.000000,1.000000,1.000000
14,99,1.000000,99.000000,1.000000,1.000000
15,99,1.000000,99.000000,1.000000,1.000000
16,97,1.000000,97.000000,1.000000,1.000000
17,104,1.000000,104.000000,1.000000,1.000000
18,100,1.000000,100.000000,1.000000,1.000000
19,102,1.000000,102.000000,1.000000,1.000000
20,98,1.000000,98.000000,1.000000,1.000000
21,91,1.000000,91.000000,1.000000,1.000000
22,105,1.000000,105.000000,1.000000,1.000000
23,101,1.000000,101.000000,1.000000,1.000000
24,101,1.000000,101.000000,1.000000,1.000000
25,100,1.000000,100.000000,1.000000,1.000000
26,86,1.000000,86.000000,1.000000,1.000000
27,100,1.000000,100.000000,1.000000,1.000000
28,24,1.000000,24.000000,1.000000,1.000000
29,17,1.000000,17.000000,1.000000,1.000000
,,,,,
Archive #2,,,,,
index,total,avg,sum,min,max
0,199,1.000000,199.000000,1.000000,1.000000
1,198,1.000000,198.000000,1.000000,1.000000
2,193,1.000000,193.000000,1.000000,1.000000
3,205,1.000000,205.000000,1.000000,1.000000
4,194,1.000000,194.000000,1.000000,1.000000
5,198,1.000000,198.000000,1.000000,1.000000
6,200,1.000000,200.000000,1.000000,1.000000
7,201,1.000000,201.000000,1.000000,1.000000
8,202,1.000000,202.000000,1.000000,1.000000
9,128,1.000000,128.000000,1.000000,1.000000
10,184,1.000000,184.000000,1.000000,1.000000
11,211,1.000000,211.000000,1.000000,1.000000
12,201,1.000000,201.000000,1.000000,1.000000
13,197,1.000000,197.000000,1.000000,1.000000
14,200,1.000000,200.000000,1.000000,1.000000
15,200,1.000000,200.000000,1.000000,1.000000
16,200,1.000000,200.000000,1.000000,1.000000
17,200,1.000000,200.000000,1.000000,1.000000
18,203,1.000000,203.000000,1.000000,1.000000
19,197,1.000000,197.000000,1.000000,1.000000
20,200,1.000000,200.000000,1.000000,1.000000
21,201,1.000000,201.000000,1.000000,1.000000
22,198,1.000000,198.000000,1.000000,1.000000
23,201,1.000000,201.000000,1.000000,1.000000
24,202,1.000000,202.000000,1.000000,1.000000
25,189,1.000000,189.000000,1.000000,1.000000
26,206,1.000000,206.000000,1.000000,1.000000
27,201,1.000000,201.000000,1.000000,1.000000
28,186,1.000000,186.000000,1.000000,1.000000
29,41,1.000000,41.000000,1.000000,1.000000
,,,,,
Archive #3,,,,,
index,total,avg,sum,min,max
0,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
1,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
2,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
3,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
4,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
5,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
6,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
7,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
8,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
9,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
10,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
11,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
12,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
13,795,1.000000,795.000000,1.000000,1.000000
14,943,1.000000,943.000000,1.000000,1.000000
15,911,1.000000,911.000000,1.000000,1.000000
16,990,1.000000,990.000000,1.000000,1.000000
17,920,1.000000,920.000000,1.000000,1.000000
18,995,1.000000,995.000000,1.000000,1.000000
19,921,1.000000,921.000000,1.000000,1.000000
20,1003,1.000000,1003.000000,1.000000,1.000000
21,997,1.000000,997.000000,1.000000,1.000000
22,984,1.000000,984.000000,1.000000,1.000000
23,41,1.000000,41.000000,1.000000,1.000000
,,,,,
Archive #4,,,,,
index,total,avg,sum,min,max
0,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
1,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
2,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
3,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
4,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
5,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
6,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
7,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
8,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
9,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
10,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
11,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
12,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
13,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
14,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
15,795,1.000000,795.000000,1.000000,1.000000
16,2844,1.000000,2844.000000,1.000000,1.000000
17,2836,1.000000,2836.000000,1.000000,1.000000
18,2984,1.000000,2984.000000,1.000000,1.000000
19,41,1.000000,41.000000,1.000000,1.000000
,,,,,
