Archive #0,,,,,
index,total,avg,sum,min,max
0,9,0.002061,0.018545,0.000116,0.016947
1,7,0.001404,0.009826,0.000121,0.008777
2,14,0.000182,0.002542,0.000119,0.000299
3,5,0.000175,0.000873,0.000135,0.000254
4,15,0.000172,0.002585,0.000099,0.000268
5,7,0.000179,0.001253,0.000082,0.000266
6,6,0.000168,0.001006,0.000098,0.000339
7,15,0.000190,0.002856,0.000121,0.000299
8,8,0.000189,0.001514,0.000117,0.000278
9,16,0.000200,0.003193,0.000116,0.000271
10,10,0.000170,0.001697,0.000108,0.000292
11,10,0.000219,0.002186,0.000114,0.000314
12,6,0.000222,0.001330,0.000123,0.000322
13,14,0.000307,0.004304,0.000120,0.002170
14,5,0.000308,0.001539,0.000122,0.000803
15,13,0.000336,0.004365,0.000094,0.002235
16,10,0.000209,0.002091,0.000094,0.000437
17,4,0.000296,0.001182,0.000257,0.000326
18,2,0.001792,0.003583,0.000153,0.003430
19,9,0.000163,0.001465,0.000119,0.000309
,,,,,
Archive #1,,,,,
index,total,avg,sum,min,max
0,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
1,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
2,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
3,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
4,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
5,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
6,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
7,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
8,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
9,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
10,63,0.003014,0.189889,0.000082,0.034495
11,60,0.000887,0.053208,0.000085,0.024541
12,51,0.000235,0.011973,0.000088,0.001053
13,43,0.000273,0.011757,0.000103,0.004367
14,39,0.000255,0.009960,0.000114,0.002917
15,62,0.000345,0.021362,0.000112,0.009921
16,60,0.000171,0.010261,0.000090,0.000311
17,34,0.000176,0.005985,0.000110,0.000331
18,57,0.000526,0.030006,0.000111,0.016669
19,42,0.000236,0.009898,0.000102,0.002516
20,56,0.000509,0.028478,0.000084,0.017229
21,57,0.000267,0.015206,0.000097,0.005581
22,40,0.000209,0.008348,0.000115,0.000818
23,51,0.000542,0.027656,0.000101,0.015844
24,43,0.000195,0.008387,0.000101,0.000535
25,57,0.000221,0.012576,0.000080,0.001784
26,50,0.000687,0.034370,0.000099,0.016947
27,52,0.000189,0.009821,0.000082,0.000339
28,45,0.000246,0.011056,0.000108,0.002170
29,38,0.000334,0.012686,0.000094,0.003430
,,,,,
Archive #2,,,,,
index,total,avg,sum,min,max
0,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
1,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
2,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
3,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
4,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
5,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
6,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
7,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
8,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
9,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
10,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
11,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
12,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
13,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
14,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
15,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
16,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
17,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
18,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
19,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
20,123,0.001976,0.243097,0.000082,0.034495
21,94,0.000252,0.023729,0.000088,0.004367
